country_name,population,yearly_change,net_change,density,land_area,migrants,fertility_rate,median_age,urban_population_percentage,world_share_percentage
Mauritius,1265059,−0.25,−3221,623,2030,−2679,1.21,38.3,41.8,0.015
Djibouti,1199459,1.3,15383,52,23180,302,2.54,25.2,71.4,0.014
Fiji,937282,0.44,4128,51,18270,−3385,2.23,28.3,61.3,0.011
Comoros,899010,1.83,16163,483,1861,−2225,3.71,20.7,34,0.011
Réunion,886298,0.44,3893,355,2500,−2079,2.12,38.4,–,0.011
Solomon Islands,858288,2.34,19643,31,27990,1570,3.42,20.9,23,0.010
Guyana,840890,0.59,4904,4,196850,−4787,2.35,26.5,26.8,0.010
Bhutan,802214,0.69,5532,21,38117,633,1.43,31,51.1,0.0097
Macao,723188,0.16,1181,"24,106",30,826,0.7,40.3,98.3,0.0087
Luxembourg,687448,1.03,6995,265,2590,4938,1.41,39.7,87.4,0.0083
Suriname,645256,0.84,5406,4,156000,−965,2.19,28.9,62.4,0.0078
Montenegro,626233,−1.03,−6496,47,13450,−2824,1.79,40.4,69.7,0.0075
Western Sahara,610813,1.65,9909,2,266000,4689,2.13,32.8,97.6,0.0074
Malta,549011,0.66,3606,"1,716",320,2157,1.12,41.5,76.2,0.0066
Maldives,531517,0.35,1841,"1,772",300,−2079,1.53,33.4,40.3,0.0064
Cabo Verde,529630,0.44,2304,131,4030,−1338,1.49,29.5,79.6,0.0064
Brunei,469775,0.74,3445,89,5270,8,1.7,33.2,80.6,0.0057
Belize,428644,1.35,5720,19,22810,392,1.99,27.3,49,0.0052
Bahamas,404628,0.4,1595,40,10010,902,1.36,35.7,88.9,0.0049
Iceland,402329,1.02,4063,4,100250,2027,1.49,36.6,83.7,0.0048
Guadeloupe,372453,−0.36,−1338,220,1690,−1442,2.04,47.4,–,0.0045
Mayotte,347536,3.12,10525,927,375,−2,4.43,17.3,41.1,0.0042
Vanuatu,342564,2.21,7395,28,12190,−113,3.5,20.3,25.5,0.0041
