country,population,yearly_change,net_change,density,land_area,migrants,fert_rate,med_age,urban_pop,world_share
Paraguay,"7,095,279",1.17%,"82,201",18,"397,300","−12,243",109,109,68.3%,0.085%
Bulgaria,"6,667,659",−0.7%,"−46,901",61,"108,560","−5,722",110,110,77.4%,0.080%
Serbia,"6,641,964",−0.7%,"−47,075",76,"87,460","−5,883",111,111,74.2%,0.080%
Congo,"6,637,785",2.36%,"153,348",19,"341,500","−3,298",112,112,70.3%,0.080%
El Salvador,"6,391,253",0.4%,"25,750",308,"20,720","−23,530",113,113,80.5%,0.077%
Denmark,"6,023,520",0.35%,"21,013",142,"42,430","18,360",114,114,87.6%,0.073%
Singapore,"5,905,748",0.6%,"34,998","8,437",700,"13,379",115,115,–,0.071%
Lebanon,"5,897,467",0.82%,"48,046",576,"10,230","−6,685",116,116,84.4%,0.071%
Liberia,"5,853,949",2.14%,"122,743",61,"96,320","−1,051",117,117,55.7%,0.071%
Central African Republic,"5,698,984",3.37%,"185,702",9,"622,980","−15,608",118,118,44.5%,0.069%
State of Palestine,"5,692,790",1.85%,"103,167",946,"6,020","−20,055",119,119,85%,0.069%
Oman,"5,671,458",3.22%,"176,767",18,"309,500","79,740",120,120,89.6%,0.068%
Norway,"5,652,989",0.53%,"29,918",15,"365,268","12,047",121,121,86.5%,0.068%
Finland,"5,621,739",−0.03%,"−1,590",18,"303,890","12,666",122,122,87.1%,0.068%
Mauritania,"5,461,319",2.75%,"146,254",5,"1,030,700","−5,842",123,123,60.9%,0.066%
Slovakia,"5,451,342",−0.43%,"−23,539",113,"48,088",134,124,124,54.3%,0.066%
Ireland,"5,356,950",0.92%,"48,911",78,"68,890","32,022",125,125,62.2%,0.065%
New Zealand,"5,287,479",0.68%,"35,580",20,"263,310","16,435",126,126,83.7%,0.064%
Costa Rica,"5,174,789",0.42%,"21,839",101,"51,060",966,127,127,85.9%,0.062%
Kuwait,"5,102,773",1.53%,"76,695",286,"17,820","30,696",128,128,91.3%,0.061%
Panama,"4,625,718",1.19%,"54,529",62,"74,340","5,665",129,129,71.1%,0.056%
Croatia,"3,822,345",−0.67%,"−25,815",68,"55,960","−2,491",130,130,62.2%,0.046%
Georgia,"3,804,642",−0.05%,"−2,029",55,"69,490","1,215",131,131,62.2%,0.046%
Eritrea,"3,682,669",2.1%,"75,666",36,"101,000","−7,520",132,132,75.9%,0.044%
Mongolia,"3,556,798",1.13%,"39,698",2,"1,553,560",12,133,133,67.3%,0.043%
Uruguay,"3,382,537",−0.06%,"−2,151",19,"175,020","−1,413",134,134,–,0.041%
Puerto Rico,"3,222,688",−0.39%,"−12,601",363,"8,870","1,056",135,135,–,0.039%
Qatar,"3,173,559",1.85%,"57,670",273,"11,610","24,791",136,136,96.2%,0.038%
Namibia,"3,153,246",1.95%,"60,430",4,"823,290",47,137,137,55.2%,0.038%
Bosnia and Herzegovina,"3,114,242",−0.82%,"−25,853",61,"51,000","−7,581",138,138,57.1%,0.038%
Moldova,"2,961,253",−1.16%,"−34,853",90,"32,850","−16,732",139,139,58.5%,0.036%
Armenia,"2,930,915",−0.73%,"−21,450",103,"28,470","−27,000",140,140,64.4%,0.035%
Gambia,"2,884,079",2.2%,"61,986",285,"10,120","−2,894",141,141,62.2%,0.035%
Jamaica,"2,833,403",−0.13%,"−3,674",262,"10,830","−11,683",142,142,60.7%,0.034%
Lithuania,"2,797,338",−1.16%,"−32,806",45,"62,674","−4,846",143,143,68.9%,0.034%
Albania,"2,751,025",−0.74%,"−20,483",100,"27,400","−22,595",144,144,71.6%,0.033%
Gabon,"2,647,399",2.09%,"54,269",10,"257,670","1,152",145,145,83.8%,0.032%
Botswana,"2,603,388",1.61%,"41,266",5,"566,730","−4,169",146,146,76.1%,0.031%
Lesotho,"2,389,336",1.1%,"26,011",79,"30,360","−4,876",147,147,33.3%,0.029%
Guinea-Bissau,"2,297,808",2.15%,"48,293",82,"28,120","−1,893",148,148,46.6%,0.028%
Slovenia,"2,114,573",−0.12%,"−2,499",105,"20,140","2,609",149,149,56.1%,0.025%
Equatorial Guinea,"1,984,468",2.37%,"46,037",71,"28,050","3,533",150,150,64.2%,0.024%
Latvia,"1,835,935",−0.95%,"−17,624",30,"62,200",−360,151,151,67.7%,0.022%
North Macedonia,"1,804,063",−0.54%,"−9,728",72,"25,220","−5,731",152,152,70.3%,0.022%
Bahrain,"1,675,572",1.96%,"32,240","2,205",760,"14,280",153,153,–,0.020%
Trinidad and Tobago,"1,513,268",0.14%,"2,113",295,"5,130",160,154,154,49.1%,0.018%
