property_title,bhk_type,carpet_area_sqft,price,price_per_sqft,locality,city,transaction_type,construction_status,url
"Multistorey Apartment for Sale in Hosur Road, Bangalore. Covered area is 1870.0 Sq-ft. This property belongs to ""Sobha Brooklyn Towers Town Park"" .",3 BHK Apartment for Sale in Hosur Road Bangalore,Sobha Brooklyn Towers Town Park,"12
+
Photos",Sobha Brooklyn Towers Town Park,Sobha Brooklyn Towers Town Park,Sobha Brooklyn Towers Town Park,Sobha Brooklyn Towers Town Park,Sobha Brooklyn Towers Town Park,Sobha Brooklyn Towers Town Park
"12
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in Hosur Road, Bangalore. Covered area is 1870.0 Sq-ft. This property belongs to ""Sobha Brooklyn Towers Town Park"" .",,,,,,,,,
"Multistorey Apartment for Sale in Whitefield, Bangalore. Covered area is 1991.0 Sq-ft. This property belongs to ""Evergreen at Prestige Raintree Park"" .",3 BHK Apartment for Sale in Whitefield Bangalore,Evergreen at Prestige Raintree Park,"23
+
Photos",Evergreen at Prestige Raintree Park,Evergreen at Prestige Raintree Park,Evergreen at Prestige Raintree Park,Evergreen at Prestige Raintree Park,Evergreen at Prestige Raintree Park,Evergreen at Prestige Raintree Park
"23
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in Whitefield, Bangalore. Covered area is 1991.0 Sq-ft. This property belongs to ""Evergreen at Prestige Raintree Park"" .",,,,,,,,,
"Multistorey Apartment for Sale in Bagaluru, Bangalore. Covered area is 1785.0 Sq-ft. This property belongs to ""Assetz Sora and Saki Phase 3"" .",3 BHK Apartment for Sale in Bagaluru Bangalore,Assetz Sora and Saki Phase 3,"13
+
Photos",Assetz Sora and Saki Phase 3,Assetz Sora and Saki Phase 3,Assetz Sora and Saki Phase 3,Assetz Sora and Saki Phase 3,Assetz Sora and Saki Phase 3,Assetz Sora and Saki Phase 3
"Multistorey Apartment for Sale in Bagaluru, Bangalore. Covered area is 1785.0 Sq-ft. This property belongs to ""Assetz Sora and Saki Phase 3"" .",,,,,,,,,
"Multistorey Apartment for Sale in Sarjapur Road, Bangalore. Covered area is 1895.0 Sq-ft. This property belongs to ""Abhee Celestial City"" .",3 BHK Apartment for Sale in Sarjapur Road Bangalore,Abhee Celestial City,"20
+
Photos",Abhee Celestial City,Abhee Celestial City,Abhee Celestial City,Abhee Celestial City,Abhee Celestial City,Abhee Celestial City
"Multistorey Apartment for Sale in Sarjapur Road, Bangalore. Covered area is 1895.0 Sq-ft. This property belongs to ""Abhee Celestial City"" .",,,,,,,,,
"Multistorey Apartment for Sale in Gunjur, Bangalore. Covered area is 1870.0 Sq-ft. This property belongs to ""Myhna Vistara"" .",3 BHK Apartment for Sale in Gunjur Bangalore,Myhna Vistara,"17
+
Photos",Myhna Vistara,Myhna Vistara,Myhna Vistara,Myhna Vistara,Myhna Vistara,Myhna Vistara
"17
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in Gunjur, Bangalore. Covered area is 1870.0 Sq-ft. This property belongs to ""Myhna Vistara"" .",,,,,,,,,
"Multistorey Apartment for Sale in Sarjapur Road, Bangalore. Covered area is 2700.0 Sq-ft. This property belongs to ""Mana Verdant Terraces"" .",3 BHK Apartment for Sale in Sarjapur Road Bangalore,Mana Verdant Terraces,"15
+
Photos",Mana Verdant Terraces,Mana Verdant Terraces,Mana Verdant Terraces,Mana Verdant Terraces,Mana Verdant Terraces,Mana Verdant Terraces
"Multistorey Apartment for Sale in Sarjapur Road, Bangalore. Covered area is 2700.0 Sq-ft. This property belongs to ""Mana Verdant Terraces"" .",,,,,,,,,
"Multistorey Apartment for Sale in Yelahanka, Bangalore. Covered area is 1900.0 Sq-ft. This property belongs to ""Godrej Aveline"" .",3 BHK Apartment for Sale in Yelahanka Bangalore,Godrej Aveline,"10
+
Photos",Godrej Aveline,Godrej Aveline,Godrej Aveline,Godrej Aveline,Godrej Aveline,Godrej Aveline
"Multistorey Apartment for Sale in Yelahanka, Bangalore. Covered area is 2111.0 Sq-ft. This property belongs to ""Brigade Eternia"" .",3 BHK Apartment for Sale in Yelahanka Bangalore,Brigade Eternia,"16
+
Photos",Brigade Eternia,Brigade Eternia,Brigade Eternia,Brigade Eternia,Brigade Eternia,Brigade Eternia
"Multistorey Apartment for Sale in Yelahanka, Bangalore. Covered area is 2111.0 Sq-ft. This property belongs to ""Brigade Eternia"" .",,,,,,,,,
"Multistorey Apartment for Sale in HSR Layout, Bangalore. Covered area is 2138.0 Sq-ft. This property belongs to ""Manikchand Svamitva Soulspring"" .",3 BHK Apartment for Sale in Hsr Layout Bangalore,Manikchand Svamitva Soulspring,"25
+
Photos",Manikchand Svamitva Soulspring,Manikchand Svamitva Soulspring,Manikchand Svamitva Soulspring,Manikchand Svamitva Soulspring,Manikchand Svamitva Soulspring,Manikchand Svamitva Soulspring
"25
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in HSR Layout, Bangalore. Covered area is 2138.0 Sq-ft. This property belongs to ""Manikchand Svamitva Soulspring"" .",,,,,,,,,
"Multistorey Apartment for Sale in Phase 1 Electronics City, Bangalore. Covered area is 1645.0 Sq-ft. This property belongs to ""Bren Park City"" .",3 BHK Apartment for Sale in Phase 1 Electronics City Bangalore,Bren Park City,"5
+
Photos",Bren Park City,Bren Park City,Bren Park City,Bren Park City,Bren Park City,Bren Park City
"Multistorey Apartment for Sale in Phase 1 Electronics City, Bangalore. Covered area is 1645.0 Sq-ft. This property belongs to ""Bren Park City"" .",,,,,,,,,
"Penthouse for Sale in Kengeri, Bangalore. Covered area is 3484.0 Sq-ft. This property belongs to ""SBR Global Queens Ville"" .",3 BHK Penthouse for Sale in Kengeri Bangalore,SBR Global Queens Ville,"13
+
Photos",SBR Global Queens Ville,SBR Global Queens Ville,SBR Global Queens Ville,SBR Global Queens Ville,SBR Global Queens Ville,SBR Global Queens Ville
"Penthouse for Sale in Kengeri, Bangalore. Covered area is 3484.0 Sq-ft. This property belongs to ""SBR Global Queens Ville"" .",,,,,,,,,
"Multistorey Apartment for Sale in Whitefield, Bangalore. Covered area is 2492.0 Sq-ft. This property belongs to ""Evergreen at Prestige Raintree Park"" .",3 BHK Apartment for Sale in Whitefield Bangalore,Evergreen at Prestige Raintree Park,"22
+
Photos",Evergreen at Prestige Raintree Park,Evergreen at Prestige Raintree Park,Evergreen at Prestige Raintree Park,Evergreen at Prestige Raintree Park,Evergreen at Prestige Raintree Park,Evergreen at Prestige Raintree Park
"Multistorey Apartment for Sale in Whitefield, Bangalore. Covered area is 4800.0 Sq-ft. This property belongs to ""Total Environment Pursuit of a Radical Rhapsody"" .",3 BHK Apartment for Sale in Whitefield Bangalore,Total Environment Pursuit of a Radical Rhapsody,"41
+
Photos",Total Environment Pursuit of a Radical Rhapsody,Total Environment Pursuit of a Radical Rhapsody,Total Environment Pursuit of a Radical Rhapsody,Total Environment Pursuit of a Radical Rhapsody,Total Environment Pursuit of a Radical Rhapsody,Total Environment Pursuit of a Radical Rhapsody
"41
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in Whitefield, Bangalore. Covered area is 4800.0 Sq-ft. This property belongs to ""Total Environment Pursuit of a Radical Rhapsody"" .",,,,,,,,,
"Multistorey Apartment for Sale in Gunjur, Bangalore. Covered area is 1780.0 Sq-ft. This property belongs to ""Abhee Aaria"" .",3 BHK Apartment for Sale in Gunjur Bangalore,Abhee Aaria,"40
+
Photos",Abhee Aaria,Abhee Aaria,Abhee Aaria,Abhee Aaria,Abhee Aaria,Abhee Aaria
"40
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in Gunjur, Bangalore. Covered area is 1780.0 Sq-ft. This property belongs to ""Abhee Aaria"" .",,,,,,,,,
"Multistorey Apartment for Sale in Devanahalli, Bangalore. Covered area is 1580.0 Sq-ft. This property belongs to ""Sattva City"" .",3 BHK Apartment for Sale in Devanahalli Bangalore,Sattva City,"13
+
Photos",Sattva City,Sattva City,Sattva City,Sattva City,Sattva City,Sattva City
"Multistorey Apartment for Sale in Devanahalli, Bangalore. Covered area is 1580.0 Sq-ft. This property belongs to ""Sattva City"" .",,,,,,,,,
"Villa for Sale in Whitefield, Bangalore. Covered area is 3500.0 Sq-ft. This property belongs to ""Sterling Villa Grande"" .",3 BHK Villa for Sale in Whitefield Bangalore,Sterling Villa Grande,"58
+
Photos",Sterling Villa Grande,Sterling Villa Grande,Sterling Villa Grande,Sterling Villa Grande,Sterling Villa Grande,Sterling Villa Grande
"58
+
Photos",,,,,,,,,
"Villa for Sale in Whitefield, Bangalore. Covered area is 3500.0 Sq-ft. This property belongs to ""Sterling Villa Grande"" .",,,,,,,,,
"Multistorey Apartment for Sale in Judicial Layout, Bangalore. Covered area is 2016.0 Sq-ft. This property belongs to ""Visista By Vista Spaces Okas"" .","3 BHK Apartment for Sale in Judicial Layout, Yelahanka Bangalore",Visista By Vista Spaces Okas,"26
+
Photos",Visista By Vista Spaces Okas,Visista By Vista Spaces Okas,Visista By Vista Spaces Okas,Visista By Vista Spaces Okas,Visista By Vista Spaces Okas,Visista By Vista Spaces Okas
